state,pwsid
CA,ca5810003
CA,ca5805001
CA,ca3010027
CA,ca3710034
CA,ca 3710037
CA,ca4310009
CA,ca0410007
CA,ca4010007
CA,ca3610120
CA,ca1910042
CA,ca1910125
CA,ca4010008
CA,ca3010035
CA,ca0110008
CA,ca1910126
CA,ca3710016
CA,ca3310038
CA,ca1910140
CA,ca4510005
CA,ca 1010027
CA,ca4010026
CA,ca56100140
CA,ca3610045
CA,ca3710018 (id-1)
CA,ca3710018
CA,ca3410018
CA,ca4810004
CA,ca5010018
CA,ca3310031
CA,ca1510018
CA,ca3110008
CA,ca1910194
CA,ca3310044
CA,cazone 41
CA,ca3610039
CA,ca5610017
CA,ca5602140
CA,ca3010036
CA,ca3710020
CA,ca3710021
CA,ca3010030
CA,ca4410014
CA,ca1910142
CA,ca3010038
CA,ca3010101
CA,ca1910146
CA,ca4910009
CA,canon-zone 40
CA,cazone 40
CA,caarden park vista (ca3410002)
CA,caeast walnut grove (ca3400106)
CA,cahood (ca3400101)
CA,cametro air park (ca3400473)
CA,canorthgate 880 (ca3400173)
CA,casouthwest tract (ca3400153)
CA,"cazone 40 - ca3410704, ca3410029"
CA,ca3010041
CA,ca0410006
CA,ca1510019
CA,ca1910212
CA,ca1910223
CA,ca2710011
CA,ca 4410017
CA,ca3010042/3010055
CA,ca3010042 and 3010055
CA,ca1910152
CA,ca1910154
CA,ca4810005
CA,ca3910006
CA,ca3510003
CA,ca4310014
CA,ca1810001
CA,ca371005
CA,ca4910004
CA,ca4910028
CA,ca1510020
CA,ca5610020
CA,ca1910213
CA,ca3010094
CA,ca2910010
CA,ca2910003
CA,ca 5510028 / apple valley
CA,ca 5510010 / cedar ridge
CA,ca 5510013 / columbia
CA,ca 5510021 / peaceful pines
CA,ca 5510025 / phoenix lake
CA,ca 5510002 / ponderosa hills
CA,ca 5510033 / scenic view
CA,ca 5510003 / tuolumne
CA,ca 5500363 / wards ferry
CA,ca 55100003 / tuolumne
CA,ca5410015
CA,ca5510001 / sonora/jamestown
CA,ca 5510012 / upper basin
CA,ca5510012 / upper basin
CA,ca370019
CA,ca3610073
CA,ca3710002
CA,ca4810007
CA,ca3710026
CA,ca1910166
CA,ca5610023
CA,ca3610052
CA,ca3710027
CA,ca1910167
CA,ca1910234
